Location	Start	End	mRNA	GENE #				
Chr_07	1092414	1093524	ID=mRNA5613	gene5611	Name=wlab.235830.1_mRNA	proteinid=5495	annotator=automatic	
Chr_07	1094038	1096634	ID=mRNA5614	gene5612	Name=wlab.235828.1_mRNA	proteinid=5497	annotator=automatic	
Chr_07	1098349	1099434	ID=mRNA5615	gene5613	Name=wlab.235827.1_mRNA	proteinid=5499	annotator=automatic	
Chr_07	1101180	1103101	ID=mRNA5616	gene5614	Name=wlab.235826.1_mRNA	proteinid=5501	annotator=automatic	
Chr_07	1104407	1105394	ID=mRNA5617	gene5615	Name=wlab.235824.1_mRNA	proteinid=5503	annotator=automatic	
Chr_07	1107176	1108060	ID=mRNA5618	gene5616	Name=wlab.235822.1_mRNA	proteinid=5505	annotator=Jae-Hyeok%20Lee	
Chr_07	1109689	1111478	ID=mRNA5619	gene5617	Name=wlab.247951.1_mRNA	proteinid=5507	annotator=automatic	
Chr_07	1116751	1118452	ID=mRNA5620	gene5618	Name=wlab.235819.1_mRNA	proteinid=5509	annotator=automatic	
Chr_07	1119220	1119691	ID=mRNA5621	gene5619	Name=wlab.235817.1_mRNA	proteinid=5511	annotator=automatic	
Chr_07	1120942	1124539	ID=mRNA5622	gene5620	Name=wlab.247953.1_mRNA	proteinid=5513	annotator=automatic	
Chr_07	1124929	1126847	ID=mRNA5623	gene5621	Name=wlab.245278.1_mRNA	proteinid=5514	annotator=automatic	
Chr_07	1128720	1131216	ID=mRNA5624	gene5622	Name=wlab.235813.1_mRNA	proteinid=5516	annotator=automatic	
Chr_07	1133249	1136576	ID=mRNA5625	gene5623	Name=wlab.247954.1_mRNA	proteinid=5518	annotator=automatic	
Chr_07	1136708	1137523	ID=mRNA5626	gene5624	Name=wlab.235811.1_mRNA	proteinid=5519	annotator=automatic	
Chr_07	1138734	1139801	ID=mRNA5627	gene5625	Name=wlab.8513.1_mRNA	proteinid=5521	annotator=automatic	
Chr_07	1141641	1142187	ID=mRNA5628	gene5626	Name=wlab.235809.1_mRNA	proteinid=5523	annotator=automatic	
Chr_07	1143728	1144878	ID=mRNA5629	gene5627	Name=wlab.235807.1_mRNA	proteinid=5525	product=Drug%2FMetabolite%20Transporter%20%28DMT%29%20Superfamily	annotator=Jian%20Guo
Chr_07	1145493	1146830	ID=mRNA5630	gene5628	Name=wlab.235806.1_mRNA	proteinid=5527	annotator=automatic	
Chr_07	1147898	1148588	ID=mRNA5631	gene5629	Name=wlab.1655.1_mRNA	proteinid=5529	annotator=automatic	
Chr_07	1150296	1151184	ID=mRNA5632	gene5630	Name=wlab.1656.1_mRNA	proteinid=5531	annotator=automatic	
Chr_07	1156342	1157126	ID=mRNA5633	gene5631	Name=wlab.235800.1_mRNA	proteinid=5534	annotator=automatic	
Chr_07	1159752	1160141	ID=mRNA5634	gene5632	Name=wlab.235801.1_mRNA	proteinid=5536	annotator=automatic	
Chr_07	1162373	1162908	ID=mRNA5635	gene5633	Name=wlab.235799.1_mRNA	proteinid=5539	annotator=automatic	
Chr_07	1165111	1166705	ID=mRNA5636	gene5634	Name=wlab.235795.1_mRNA	proteinid=5541	product=SBP-type%20transcription%20factor	annotator=Jae-Hyeok%20Lee
Chr_07	1167611	1169378	ID=mRNA5637	gene5635	Name=wlab.24238.1_mRNA	proteinid=5543	annotator=automatic	
Chr_07	1171214	1172725	ID=mRNA5638	gene5636	Name=wlab.85.1_mRNA	proteinid=5545	annotator=automatic	
Chr_07	1173900	1174788	ID=mRNA5639	gene5637	Name=wlab.235789.1_mRNA	proteinid=5547	annotator=automatic	
Chr_07	1174970	1177767	ID=mRNA5640	gene5638	Name=wlab.235788.1_mRNA	proteinid=5548	annotator=automatic	
Chr_07	1178657	1179404	ID=mRNA5641	gene5639	Name=wlab.247958.1_mRNA	proteinid=5550	annotator=automatic	
Chr_07	1180457	1181233	ID=mRNA5642	gene5640	Name=wlab.235785.1_mRNA	proteinid=5552	annotator=automatic	
Chr_07	1183623	1186667	ID=mRNA5643	gene5641	Name=wlab.235783.1_mRNA	proteinid=5554	annotator=automatic	
Chr_07	1189980	1190735	ID=mRNA5644	gene5642	Name=wlab.235781.1_mRNA	proteinid=5556	annotator=automatic	
Chr_07	1194210	1195792	ID=mRNA5645	gene5643	Name=wlab.245276.1_mRNA	proteinid=5559	annotator=automatic	
Chr_07	1195965	1196973	ID=mRNA5646	gene5644	Name=wlab.235777.1_mRNA	proteinid=5560	annotator=automatic	
Chr_07	1199789	1200923	ID=mRNA5647	gene5645	Name=wlab.26401.1_mRNA	proteinid=5562	product=Plastocyanin	annotator=Charles%20Bachy
Chr_07	1205817	1206408	ID=mRNA5648	gene5646	Name=wlab.235773.1_mRNA	proteinid=5564	annotator=automatic	
Chr_07	1221599	1223383	ID=mRNA5649	gene5647	Name=wlab.5804.1_mRNA	proteinid=5567	annotator=automatic	
Chr_07	1225539	1228671	ID=mRNA5650	gene5648	Name=wlab.235769.1_mRNA	proteinid=5569	annotator=automatic	
Chr_07	1230138	1231934	ID=mRNA5651	gene5649	Name=wlab.235767.1_mRNA	proteinid=5571	annotator=automatic	
Chr_07	1233022	1233818	ID=mRNA5652	gene5650	Name=wlab.1663.1_mRNA	proteinid=5573	annotator=automatic	
Chr_07	1242973	1244186	ID=mRNA5653	gene5651	Name=wlab.5808.1_mRNA	proteinid=5577	annotator=automatic	
Chr_07	1247460	1248353	ID=mRNA5654	gene5652	Name=wlab.5811.1_mRNA	proteinid=5580	annotator=automatic	
Chr_07	1249539	1250067	ID=mRNA5655	gene5653	Name=wlab.245248.1_mRNA	proteinid=5582	annotator=automatic	
Chr_07	1250846	1252153	ID=mRNA5656	gene5654	Name=wlab.235759.1_mRNA	proteinid=5584	product=NIPA%20Mg2%2B%20Uptake%20Permease%20%28NIPA%29%20Family	annotator=Jian%20Guo
Chr_07	1253997	1255494	ID=mRNA5657	gene5655	Name=wlab.24252.1_mRNA	proteinid=5586	annotator=automatic	
Chr_07	1257376	1260414	ID=mRNA5658	gene5656	Name=wlab.235755.1_mRNA	proteinid=5588	annotator=automatic	
Chr_07	1260519	1261502	ID=mRNA5659	gene5657	Name=wlab.5818.1_mRNA	proteinid=5589	annotator=automatic	
Chr_07	1264615	1266118	ID=mRNA5660	gene5658	Name=wlab.235753.1_mRNA	proteinid=5591	annotator=automatic	
Chr_07	1268009	1268543	ID=mRNA5661	gene5659	Name=wlab.235752.1_mRNA	proteinid=5593	annotator=automatic	
Chr_07	1271501	1274324	ID=mRNA5662	gene5660	Name=wlab.235751.1_mRNA	proteinid=5595	annotator=automatic	
Chr_07	1275747	1276829	ID=mRNA5663	gene5661	Name=wlab.5823.1_mRNA	proteinid=5597	annotator=automatic	
Chr_07	1279200	1281281	ID=mRNA5664	gene5662	Name=wlab.235748.1_mRNA	proteinid=5600	annotator=automatic	
Chr_07	1282521	1283940	ID=mRNA5665	gene5663	Name=wlab.235746.1_mRNA	proteinid=5602	product=molybdenum%20cofactor%20biosynthesis%20CNX2	annotator=Valeria%20Jimenez
Chr_07	1285963	1287332	ID=mRNA5666	gene5664	Name=wlab.247962.1_mRNA	proteinid=5604	annotator=automatic	
Chr_07	1288633	1290411	ID=mRNA5667	gene5665	Name=wlab.231437.1_mRNA	proteinid=5606	annotator=automatic	
Chr_07	1293343	1294359	ID=mRNA5668	gene5666	Name=wlab.235742.1_mRNA	proteinid=5609	annotator=automatic	
Chr_07	1295574	1296946	ID=mRNA5669	gene5667	Name=wlab.5831.1_mRNA	proteinid=5611	annotator=automatic	
Chr_07	1297032	1298231	ID=mRNA5670	gene5668	Name=wlab.235741.1_mRNA	proteinid=5612	annotator=automatic	
Chr_07	1301251	1303969	ID=mRNA5671	gene5669	Name=wlab.245247.1_mRNA	proteinid=5614	annotator=automatic	
Chr_07	1304194	1305199	ID=mRNA5672	gene5670	Name=wlab.235738.1_mRNA	proteinid=5615	annotator=automatic	
Chr_07	1305968	1308313	ID=mRNA5673	gene5671	Name=wlab.235736.1_mRNA	proteinid=5617	annotator=Jae-Hyeok%20Lee	
Chr_07	1310904	1315886	ID=mRNA5674	gene5672	Name=wlab.235735.1_mRNA	proteinid=5619	annotator=automatic	
Chr_07	1318515	1319207	ID=mRNA5675	gene5673	Name=wlab.235733.1_mRNA	proteinid=5621	annotator=automatic	
Chr_07	1319261	1320659	ID=mRNA5676	gene5674	Name=wlab.2636.1_mRNA	proteinid=5622	annotator=automatic	
Chr_07	1320740	1323535	ID=mRNA5677	gene5675	Name=wlab.247964.1_mRNA	proteinid=5623	product=H%2B-translocating%20Pyrophosphatase%20%28H%2B-PPase%29%20Family	annotator=Jian%20Guo
Chr_07	1323638	1324164	ID=mRNA5678	gene5676	Name=wlab.235731.1_mRNA	proteinid=5624	annotator=automatic	
Chr_07	1324173	1326430	ID=mRNA5679	gene5677	Name=wlab.235732.1_mRNA	proteinid=5625	product=Mitochondrial%20Carrier%20%28MC%29%20Family	annotator=Jian%20Guo
Chr_07	1331198	1332832	ID=mRNA5680	gene5678	Name=wlab.235727.1_mRNA	proteinid=5629	annotator=automatic	
Chr_07	1334804	1336120	ID=mRNA5681	gene5679	Name=wlab.235725.1_mRNA	proteinid=5632	product=glutathione%20S-transferase	annotator=Chang%20Jae%20Choi
Chr_07	1336221	1336983	ID=mRNA5682	gene5680	Name=wlab.247965.1_mRNA	proteinid=5633	annotator=automatic	
Chr_07	1341905	1342711	ID=mRNA5683	gene5681	Name=wlab.5843.1_mRNA	proteinid=5637	annotator=automatic	
Chr_07	1343795	1344205	ID=mRNA5684	gene5682	Name=wlab.235720.1_mRNA	proteinid=5639	annotator=automatic	
Chr_07	1347378	1348566	ID=mRNA5685	gene5683	Name=wlab.235718.1_mRNA	proteinid=5642	annotator=automatic	
Chr_07	1348751	1350640	ID=mRNA5686	gene5684	Name=wlab.235717.1_mRNA	proteinid=5643	annotator=automatic	
Chr_07	1351281	1352426	ID=mRNA5687	gene5685	Name=wlab.247967.1_mRNA	proteinid=5645	annotator=automatic	
Chr_07	1353637	1355279	ID=mRNA5688	gene5686	Name=wlab.235715.1_mRNA	proteinid=5647	product=1-deoxy-D-xylulose%205-phosphate%20reductoisomerase	annotator=Charles%20Bachy
Chr_07	1356309	1359401	ID=mRNA5689	gene5687	Name=wlab.28223.1_mRNA	proteinid=5649	annotator=automatic	
Chr_07	1361025	1361769	ID=mRNA5690	gene5688	Name=wlab.235711.1_mRNA	proteinid=5651	annotator=automatic	
Chr_07	1361816	1362771	ID=mRNA5691	gene5689	Name=wlab.235712.1_mRNA	proteinid=5652	annotator=automatic	
Chr_07	1362879	1364017	ID=mRNA5692	gene5690	Name=wlab.235710.1_mRNA	proteinid=5653	annotator=automatic	
Chr_07	1366257	1367218	ID=mRNA5693	gene5691	Name=wlab.235708.1_mRNA	proteinid=5655	annotator=automatic	
Chr_07	1368330	1370958	ID=mRNA5694	gene5692	Name=wlab.235706.1_mRNA	proteinid=5657	annotator=automatic	
Chr_07	1371914	1373812	ID=mRNA5695	gene5693	Name=wlab.8528.1_mRNA	proteinid=5659	annotator=automatic	
Chr_07	1374769	1375760	ID=mRNA5696	gene5694	Name=wlab.235703.1_mRNA	proteinid=5661	annotator=automatic	
Chr_07	1378454	1379735	ID=mRNA5697	gene5695	Name=wlab.235701.1_mRNA	proteinid=5665	annotator=automatic	
Chr_07	1379763	1384300	ID=mRNA5698	gene5696	Name=wlab.235702.1_mRNA	proteinid=5666	annotator=automatic	
Chr_07	1385051	1385738	ID=mRNA5699	gene5697	Name=wlab.3087.1_mRNA	proteinid=5668	product=nuclear%20factor%20Y	annotator=Jae-Hyeok%20Lee
Chr_07	1389414	1391364	ID=mRNA5700	gene5698	Name=wlab.235696.1_mRNA	proteinid=5670	annotator=automatic	
Chr_08	3775	4667	ID=mRNA5701	gene5699	Name=wlab.247970.1_mRNA	proteinid=5674	annotator=automatic	
Chr_08	8397	9999	ID=mRNA5702	gene5700	Name=wlab.236645.1_mRNA	proteinid=5676	annotator=automatic	
Chr_08	14256	16154	ID=mRNA5703	gene5701	Name=wlab.236643.1_mRNA	proteinid=5678	annotator=automatic	
Chr_08	16489	20869	ID=mRNA5704	gene5702	Name=wlab.236642.1_mRNA	proteinid=5679	annotator=automatic	
Chr_08	21232	25126	ID=mRNA5705	gene5703	Name=wlab.247971.1_mRNA	proteinid=5680	product=P-type%20ATPase%20%28P-ATPase%29%20Superfamily	annotator=Jian%20Guo
Chr_08	25512	30375	ID=mRNA5706	gene5704	Name=wlab.236640.1_mRNA	proteinid=5681	annotator=automatic	
Chr_08	30501	31798	ID=mRNA5707	gene5705	Name=wlab.236641.1_mRNA	proteinid=5682	annotator=automatic	
Chr_08	31961	37411	ID=mRNA5708	gene5706	Name=wlab.236638.1_mRNA	proteinid=5683	product=Voltage-gated%20Ion%20Channel%20%28VIC%29%20Superfamily	annotator=Jian%20Guo
Chr_08	37506	38286	ID=mRNA5709	gene5707	Name=wlab.236637.1_mRNA	proteinid=5684	annotator=automatic	
Chr_08	40208	41567	ID=mRNA5710	gene5708	Name=wlab.236634.1_mRNA	proteinid=5686	annotator=automatic	
Chr_08	41605	42205	ID=mRNA5711	gene5709	Name=wlab.236633.1_mRNA	proteinid=5687	annotator=automatic	
Chr_08	44113	45723	ID=mRNA5712	gene5710	Name=wlab.236631.1_mRNA	proteinid=5689	annotator=automatic	
Chr_08	45786	46542	ID=mRNA5713	gene5711	Name=wlab.236630.1_mRNA	proteinid=5690	annotator=automatic	
Chr_08	51029	52534	ID=mRNA5714	gene5712	Name=wlab.24293.1_mRNA	proteinid=5692	annotator=automatic	
Chr_08	54194	56632	ID=mRNA5715	gene5713	Name=wlab.236627.1_mRNA	proteinid=5694	annotator=Jae-Hyeok%20Lee	
Chr_08	59460	61939	ID=mRNA5716	gene5714	Name=wlab.247972.1_mRNA	proteinid=5696	annotator=automatic	
Chr_08	63046	64673	ID=mRNA5717	gene5715	Name=wlab.236624.1_mRNA	proteinid=5698	annotator=automatic	
Chr_08	68843	71073	ID=mRNA5718	gene5716	Name=wlab.5870.1_mRNA	proteinid=5700	product=AP2-like%20transcription%20factor	annotator=Jae-Hyeok%20Lee
Chr_08	77442	78498	ID=mRNA5719	gene5717	Name=wlab.5871.1_mRNA	proteinid=5702	annotator=automatic	
Chr_08	82678	83431	ID=mRNA5720	gene5718	Name=wlab.1737.1_mRNA	proteinid=5705	annotator=Jae-Hyeok%20Lee	
Chr_08	83545	85686	ID=mRNA5721	gene5719	Name=wlab.5872.1_mRNA	proteinid=5706	annotator=automatic	
Chr_08	86436	87430	ID=mRNA5722	gene5720	Name=wlab.236618.1_mRNA	proteinid=5708	annotator=automatic	
Chr_08	87956	88972	ID=mRNA5723	gene5721	Name=wlab.236614.1_mRNA	proteinid=5710	annotator=automatic	
Chr_08	91517	93623	ID=mRNA5724	gene5722	Name=wlab.236612.1_mRNA	proteinid=5712	annotator=automatic	
Chr_08	94522	96052	ID=mRNA5725	gene5723	Name=wlab.236610.1_mRNA	proteinid=5714	annotator=automatic	
Chr_08	96664	97625	ID=mRNA5726	gene5724	Name=wlab.236608.1_mRNA	proteinid=5716	annotator=automatic	
Chr_08	97719	98991	ID=mRNA5727	gene5725	Name=wlab.236607.1_mRNA	proteinid=5717	annotator=automatic	
Chr_08	99103	101183	ID=mRNA5728	gene5726	Name=wlab.5881.1_mRNA	proteinid=5718	annotator=automatic	
Chr_08	105290	106387	ID=mRNA5729	gene5727	Name=wlab.5883.1_mRNA	proteinid=5721	annotator=automatic	
Chr_08	107993	108625	ID=mRNA5730	gene5728	Name=wlab.236603.1_mRNA	proteinid=5723	annotator=automatic	
Chr_08	108786	110271	ID=mRNA5731	gene5729	Name=wlab.236602.1_mRNA	proteinid=5724	annotator=automatic	
Chr_08	110402	112224	ID=mRNA5732	gene5730	Name=wlab.236601.1_mRNA	proteinid=5725	product=Zinc%20%28Zn2%2B%29-Iron%20%28Fe2%2B%29%20Permease%20%28ZIP%29%20Family	annotator=Jian%20Guo
Chr_08	118283	119951	ID=mRNA5733	gene5731	Name=wlab.236598.1_mRNA	proteinid=5728	annotator=automatic	
Chr_08	120936	122228	ID=mRNA5734	gene5732	Name=wlab.247974.1_mRNA	proteinid=5730	product=Myb-type%20transcription%20factor	annotator=Jae-Hyeok%20Lee
Chr_08	125571	128026	ID=mRNA5735	gene5733	Name=wlab.231596.1_mRNA	proteinid=5732	annotator=automatic	
Chr_08	128576	129405	ID=mRNA5736	gene5734	Name=wlab.231599.1_mRNA	proteinid=5734	annotator=automatic	
Chr_08	131114	132065	ID=mRNA5737	gene5735	Name=wlab.247976.1_mRNA	proteinid=5736	annotator=automatic	
Chr_08	132690	133785	ID=mRNA5738	gene5736	Name=wlab.236594.1_mRNA	proteinid=5738	annotator=automatic	
Chr_08	136059	137506	ID=mRNA5739	gene5737	Name=wlab.236592.1_mRNA	proteinid=5740	annotator=automatic	
Chr_08	138677	142360	ID=mRNA5740	gene5738	Name=wlab.16465.1_mRNA	proteinid=5742	annotator=automatic	
Chr_08	153304	155658	ID=mRNA5741	gene5739	Name=wlab.236588.1_mRNA	proteinid=5745	product=BTF2-like%20transcription%20factor	annotator=Jae-Hyeok%20Lee
Chr_08	156846	157820	ID=mRNA5742	gene5740	Name=wlab.24308.1_mRNA	proteinid=5747	annotator=automatic	
Chr_08	161555	165155	ID=mRNA5743	gene5741	Name=wlab.231592.1_mRNA	proteinid=5750	annotator=Jae-Hyeok%20Lee	
Chr_08	165300	166854	ID=mRNA5744	gene5742	Name=wlab.7974.1_mRNA	proteinid=5751	product=NAD-dependent%20malate%20dehydrogenase%2C%20mitochondrial%20precursor	annotator=Susanne%20Wilken
Chr_08	168318	170772	ID=mRNA5745	gene5743	Name=wlab.236584.1_mRNA	proteinid=5753	product=SHAQYF-type%20transcription%20factor	annotator=Jae-Hyeok%20Lee
Chr_08	174045	175151	ID=mRNA5746	gene5744	Name=wlab.5900.1_mRNA	proteinid=5755	annotator=automatic	
Chr_08	177518	178063	ID=mRNA5747	gene5745	Name=wlab.236581.1_mRNA	proteinid=5757	annotator=automatic	
Chr_08	182278	188229	ID=mRNA5748	gene5746	Name=wlab.5904.1_mRNA	proteinid=5759	annotator=automatic	
Chr_08	188370	188897	ID=mRNA5749	gene5747	Name=wlab.5905.1_mRNA	proteinid=5760	annotator=automatic	
Chr_08	190699	192174	ID=mRNA5750	gene5748	Name=wlab.236578.1_mRNA	proteinid=5762	annotator=automatic	
Chr_08	193964	195925	ID=mRNA5751	gene5749	Name=wlab.236576.1_mRNA	proteinid=5764	annotator=automatic	
Chr_08	199016	199776	ID=mRNA5752	gene5750	Name=wlab.236649.1_mRNA	proteinid=5766	annotator=automatic	
Chr_08	205409	209218	ID=mRNA5753	gene5751	Name=wlab.247981.1_mRNA	proteinid=5768	annotator=automatic	
Chr_08	209334	213485	ID=mRNA5754	gene5752	Name=wlab.236573.1_mRNA	proteinid=5769	annotator=automatic	
Chr_08	215104	219388	ID=mRNA5755	gene5753	Name=wlab.236571.1_mRNA	proteinid=5771	annotator=automatic	
Chr_08	223575	225937	ID=mRNA5756	gene5754	Name=wlab.5909.1_mRNA	proteinid=5773	annotator=automatic	
Chr_08	227292	228074	ID=mRNA5757	gene5755	Name=wlab.236570.1_mRNA	proteinid=5775	annotator=automatic	
Chr_08	230757	231869	ID=mRNA5758	gene5756	Name=wlab.236569.1_mRNA	proteinid=5777	annotator=automatic	
Chr_08	233658	234702	ID=mRNA5759	gene5757	Name=wlab.247983.1_mRNA	proteinid=5779	annotator=automatic	
Chr_08	245353	246415	ID=mRNA5760	gene5758	Name=wlab.245486.1_mRNA	proteinid=5783	annotator=automatic	
Chr_08	249431	250592	ID=mRNA5761	gene5759	Name=wlab.236650.1_mRNA	proteinid=5785	product=Drug%2FMetabolite%20Transporter%20%28DMT%29%20Superfamily	annotator=Jian%20Guo
Chr_08	252459	253302	ID=mRNA5762	gene5760	Name=wlab.236564.1_mRNA	proteinid=5787	annotator=automatic	
Chr_08	255363	256134	ID=mRNA5763	gene5761	Name=wlab.247986.1_mRNA	proteinid=5789	annotator=automatic	
Chr_08	269768	272377	ID=mRNA5764	gene5762	Name=wlab.5919.1_mRNA	proteinid=5793	annotator=automatic	
Chr_08	274858	277188	ID=mRNA5765	gene5763	Name=wlab.236652.1_mRNA	proteinid=5795	annotator=automatic	
Chr_08	279322	280556	ID=mRNA5766	gene5764	Name=wlab.247987.1_mRNA	proteinid=5797	annotator=automatic	
Chr_08	281485	283641	ID=mRNA5767	gene5765	Name=wlab.236558.1_mRNA	proteinid=5799	annotator=automatic	
Chr_08	287290	290049	ID=mRNA5768	gene5766	Name=wlab.236554.1_mRNA	proteinid=5802	annotator=automatic	
Chr_08	293509	294553	ID=mRNA5769	gene5767	Name=wlab.1726.1_mRNA	proteinid=5804	product=Photosystem%20II%20PsbX%20protein	annotator=Charles%20Bachy
Chr_08	294768	298364	ID=mRNA5770	gene5768	Name=wlab.8545.1_mRNA	proteinid=5805	annotator=automatic	
Chr_08	304534	306260	ID=mRNA5771	gene5769	Name=wlab.247988.1_mRNA	proteinid=5809	annotator=automatic	
Chr_08	306981	309125	ID=mRNA5772	gene5770	Name=wlab.236550.1_mRNA	proteinid=5811	annotator=automatic	
Chr_08	310424	311586	ID=mRNA5773	gene5771	Name=wlab.236549.1_mRNA	proteinid=5813	annotator=automatic	
Chr_08	311637	313112	ID=mRNA5774	gene5772	Name=wlab.247989.1_mRNA	proteinid=5814	annotator=automatic	
Chr_08	313177	314043	ID=mRNA5775	gene5773	Name=wlab.1727.1_mRNA	proteinid=5815	product=glutaredoxin%20related%20protein	annotator=Chang%20Jae%20Choi
Chr_08	316296	317902	ID=mRNA5776	gene5774	Name=wlab.245475.1_mRNA	proteinid=5817	annotator=automatic	
Chr_08	318670	319970	ID=mRNA5777	gene5775	Name=wlab.245472.1_mRNA	proteinid=5819	annotator=automatic	
Chr_08	323644	325440	ID=mRNA5778	gene5776	Name=wlab.236545.1_mRNA	proteinid=5821	annotator=automatic	
Chr_08	326278	327606	ID=mRNA5779	gene5777	Name=wlab.236543.1_mRNA	proteinid=5823	product=Bile%20Acid%3ANa%2B%20Symporter%20%28BASS%29%20Family	annotator=Jian%20Guo
Chr_08	332328	333307	ID=mRNA5780	gene5778	Name=wlab.1730.1_mRNA	proteinid=5826	product=photosystem%20II%20PsbS%20protein	annotator=Charles%20Bachy
Chr_08	333414	335343	ID=mRNA5781	gene5779	Name=wlab.247992.1_mRNA	proteinid=5827	product=Multidrug%2FOligosaccharidyl-lipid%2FPolysaccharide%20%28MOP%29%20Flippase%20Superfamily	annotator=Jian%20Guo
Chr_08	336403	337743	ID=mRNA5782	gene5780	Name=wlab.236540.1_mRNA	proteinid=5829	annotator=automatic	
Chr_08	342145	345774	ID=mRNA5783	gene5781	Name=wlab.236535.1_mRNA	proteinid=5832	annotator=automatic	
Chr_08	345943	347703	ID=mRNA5784	gene5782	Name=wlab.236536.1_mRNA	proteinid=5833	product=Major%20Facilitator%20Superfamily%20%28MFS%29	annotator=Jian%20Guo
Chr_08	350576	355463	ID=mRNA5785	gene5783	Name=wlab.236533.1_mRNA	proteinid=5835	annotator=automatic	
Chr_08	367482	370357	ID=mRNA5786	gene5784	Name=wlab.236530.1_mRNA	proteinid=5840	annotator=automatic	
Chr_08	370659	372904	ID=mRNA5787	gene5785	Name=wlab.236529.1_mRNA	proteinid=5841	product=Nucleobase%3ACation%20Symporter-2%20%28NCS2%29%20Family	annotator=Jian%20Guo
Chr_08	400123	401035	ID=mRNA5788	gene5786	Name=wlab.5941.1_mRNA	proteinid=5846	annotator=automatic	
Chr_08	405055	405940	ID=mRNA5789	gene5787	Name=wlab.2234.1_mRNA	proteinid=5848	product=Photosystem%20I%20assembly%20protein%20ycf4	annotator=Charles%20Bachy
Chr_08	406059	407656	ID=mRNA5790	gene5788	Name=wlab.236522.1_mRNA	proteinid=5849	annotator=automatic	
Chr_08	410410	411562	ID=mRNA5791	gene5789	Name=wlab.247993.1_mRNA	proteinid=5852	annotator=automatic	
Chr_08	416683	417483	ID=mRNA5792	gene5790	Name=wlab.5946.1_mRNA	proteinid=5854	annotator=automatic	
Chr_08	420798	424937	ID=mRNA5793	gene5791	Name=wlab.28300.1_mRNA	proteinid=5857	annotator=automatic	
Chr_08	425029	425773	ID=mRNA5794	gene5792	Name=wlab.236513.1_mRNA	proteinid=5858	annotator=Jae-Hyeok%20Lee	
Chr_08	428673	430481	ID=mRNA5795	gene5793	Name=wlab.247994.1_mRNA	proteinid=5860	annotator=automatic	
Chr_08	430602	432332	ID=mRNA5796	gene5794	Name=wlab.5949.1_mRNA	proteinid=5861	annotator=automatic	
Chr_08	434333	435581	ID=mRNA5797	gene5795	Name=wlab.236510.1_mRNA	proteinid=5863	annotator=automatic	
Chr_08	439819	440544	ID=mRNA5798	gene5796	Name=wlab.247995.1_mRNA	proteinid=5865	annotator=automatic	
Chr_08	444074	446252	ID=mRNA5799	gene5797	Name=wlab.236508.1_mRNA	proteinid=5867	annotator=automatic	
Chr_08	446988	448305	ID=mRNA5800	gene5798	Name=wlab.5953.1_mRNA	proteinid=5869	annotator=automatic	
Chr_08	450963	453776	ID=mRNA5801	gene5799	Name=wlab.28307.1_mRNA	proteinid=5872	annotator=automatic	
Chr_08	453958	455240	ID=mRNA5802	gene5800	Name=wlab.236504.1_mRNA	proteinid=5873	annotator=automatic	
Chr_08	457389	458689	ID=mRNA5803	gene5801	Name=wlab.236503.1_mRNA	proteinid=5875	annotator=automatic	
Chr_08	458800	459980	ID=mRNA5804	gene5802	Name=wlab.236501.1_mRNA	proteinid=5876	annotator=automatic	
Chr_08	460017	461159	ID=mRNA5805	gene5803	Name=wlab.5958.1_mRNA	proteinid=5877	annotator=automatic	
Chr_08	461207	462010	ID=mRNA5806	gene5804	Name=wlab.12874.1_mRNA	proteinid=5878	annotator=automatic	
Chr_08	463835	465546	ID=mRNA5807	gene5805	Name=wlab.5961.1_mRNA	proteinid=5880	annotator=automatic	
Chr_08	467324	468917	ID=mRNA5808	gene5806	Name=wlab.236498.1_mRNA	proteinid=5882	annotator=automatic	
Chr_08	473662	476098	ID=mRNA5809	gene5807	Name=wlab.236495.1_mRNA	proteinid=5885	annotator=automatic	
Chr_08	478355	484932	ID=mRNA5810	gene5808	Name=wlab.236493.1_mRNA	proteinid=5887	annotator=automatic	
Chr_08	484983	485696	ID=mRNA5811	gene5809	Name=wlab.1734.1_mRNA	proteinid=5888	annotator=automatic	
Chr_08	486925	488707	ID=mRNA5812	gene5810	Name=wlab.236491.1_mRNA	proteinid=5890	annotator=automatic	
Chr_08	490026	493221	ID=mRNA5813	gene5811	Name=wlab.236489.1_mRNA	proteinid=5892	annotator=automatic	
Chr_08	510048	510662	ID=mRNA5814	gene5812	Name=wlab.236486.1_mRNA	proteinid=5895	annotator=automatic	
Chr_08	513670	514467	ID=mRNA5815	gene5813	Name=wlab.5968.1_mRNA	proteinid=5897	annotator=automatic	
Chr_08	520195	521140	ID=mRNA5816	gene5814	Name=wlab.1735.1_mRNA	proteinid=5900	annotator=automatic	
Chr_08	521244	521899	ID=mRNA5817	gene5815	Name=wlab.231574.1_mRNA	proteinid=5901	annotator=automatic	
Chr_08	523322	528126	ID=mRNA5818	gene5816	Name=wlab.245495.1_mRNA	proteinid=5903	annotator=automatic	
Chr_08	528253	529846	ID=mRNA5819	gene5817	Name=wlab.236482.1_mRNA	proteinid=5904	annotator=automatic	
Chr_08	531979	533920	ID=mRNA5820	gene5818	Name=wlab.24376.1_mRNA	proteinid=5906	annotator=automatic	
Chr_08	534860	537134	ID=mRNA5821	gene5819	Name=wlab.236479.1_mRNA	proteinid=5908	annotator=automatic	
